system_public,system,n,m,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,theoretical_L1_threshold,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,oracle_mse_at_L1_monotone_profile,oracle_selected_source_m,oracle_selected_seed,oracle_selected_hard_gain,oracle_selected_run_type,oracle_selected_init_kind,oracle_mse_at_L1_for_best_optimized_seed,oracle_best_optimized_seed,oracle_best_optimized_hard_gain,num_valid_restarts
Adjacent pair actions,AdjacentSwap,4,1,2.00000000053457,2.20760885544701,2.0008895386408,2.56797593248027,0.567086393839474,,,2.00000000053457,optimized,3,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,4,2,1.27254281639825,1.27458383811986,1.27278506153207,1.27538691797643,0.0026018564443566,,,1.27254281639825,optimized,3,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,4,3,1.00000000009308,1.00000000059535,1.00000000017234,1.00000000079459,6.22255136306649e-10,1,regular_simplex,1,analytic,3,True,True,True,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,6,1,2.41657129140818,3.27923413253114,3.20767519842281,3.36826390472201,0.1605887062992,,,2.41657129140818,optimized,5,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,6,2,1.40776787350785,1.4757543716855,1.4330432861505,1.55342478867882,0.120381502528315,,,1.40776787350785,optimized,5,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,6,3,1.22848006794424,1.25592812524397,1.25474598392488,1.26506192765077,0.0103159437258861,,,1.22848006794424,optimized,5,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,6,4,1.09991857247946,1.10091219050726,1.10085905552926,1.14448446740526,0.0436254118760011,,,1.09991857247946,optimized,5,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,6,5,1.00000000023216,1.00000000071595,1.00000000051464,1.00000000088617,3.71530362031081e-10,1,regular_simplex,1,analytic,5,True,True,True,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,8,1,3.20657397568547,4.20821981787286,3.80514694295109,4.32449194490486,0.51934500195377,,,3.20657397568547,optimized,7,False,False,False,1.73060691242047,1,1,4.67734576566653,random optimization,random_gaussian,2.3215366285067,5,3.20657397568547,10
Adjacent pair actions,AdjacentSwap,8,2,1.56047759899562,1.61005682984063,1.59345049197786,1.65450786412554,0.0610573721476854,,,1.56047759899562,optimized,7,False,False,False,0.0937518130936806,2,9,1.56047759899562,random optimization,random_gaussian,0.0937518130936806,9,1.56047759899562,10
Adjacent pair actions,AdjacentSwap,8,3,1.31428918223012,1.3326696513692,1.31657725773245,1.34261823790566,0.0260409801732157,,,1.31428918223012,optimized,7,False,False,False,0.0402072504939369,3,2,1.33580378671725,random optimization,random_gaussian,0.101700788787001,0,1.31428918223012,10
Adjacent pair actions,AdjacentSwap,8,4,1.20653347442076,1.21990708873318,1.21119840541489,1.23164165205545,0.0204432466405637,,,1.20653347442076,optimized,7,False,False,False,0.0149132926821545,4,8,1.2513252106928,random optimization,random_gaussian,0.0178748761745968,9,1.20653347442076,10
Adjacent pair actions,AdjacentSwap,8,5,1.13092245579076,1.14630353206719,1.13675320498267,1.1497677751832,0.0130145702005275,,,1.13092245579076,optimized,7,False,False,False,0.0042100830340981,5,6,1.13092245579076,random optimization,random_gaussian,0.0042100830340981,6,1.13092245579076,10
Adjacent pair actions,AdjacentSwap,8,6,1.05403277683459,1.0544893775688,1.05429551045247,1.08210704994176,0.0278115394892866,,,1.05403277683459,optimized,7,False,False,False,0.0005075478449497,6,3,1.05448626432967,random optimization,random_gaussian,0.0005142746896301,1,1.05403277683459,10
Adjacent pair actions,AdjacentSwap,8,7,1.0000000000053,1.0000000005119,1.0000000003259,1.00000000063777,3.11870085312194e-10,1,regular_simplex,1,analytic,7,True,True,True,0,7,,1,analytic construction,regular_simplex,0,5,1.0000000000053,10
Adjacent pair actions,AdjacentSwap,10,1,4.26077561750487,5.1416428516858,4.97601684241314,5.55932661610313,0.583309773689991,,,4.26077561750487,optimized,9,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,10,2,1.55991153435475,1.65173217702717,1.64594760819632,1.86138517189635,0.215437563700021,,,1.55991153435475,optimized,9,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,10,3,1.32977813187054,1.39423928280669,1.38607049134746,1.39795495956021,0.0118844682127561,,,1.32977813187054,optimized,9,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,10,4,1.24796319459712,1.2559534441725,1.25358110264935,1.26362934443962,0.0100482417902767,,,1.24796319459712,optimized,9,False,False,False,,,,,,,,,,10
Adjacent pair actions,AdjacentSwap,10,5,1.17017322608152,1.18033890126677,1.17625781687358,1.20213511324177,0.0258772963681925,,,1.17017322608152,optimized,9,False,False,False,,,,,,,,,,10
