system_public,m,best_optimized_gain,median_optimized_gain,analytic_construction_gain,best_available_upper_bound,best_solution_source,oracle_mse_at_L1_monotone_profile,oracle_selected_source_m,oracle_selected_seed,oracle_selected_hard_gain,oracle_mse_at_L1_for_best_optimized_seed,oracle_best_optimized_seed
Adjacent pair actions,1,3.20657397568547,4.20821981787286,,3.20657397568547,optimized,1.73060691242047,1,1,4.67734576566653,2.3215366285067,5
Adjacent pair actions,2,1.56047759899562,1.61005682984063,,1.56047759899562,optimized,0.0937518130936806,2,9,1.56047759899562,0.0937518130936806,9
Adjacent pair actions,3,1.31428918223012,1.3326696513692,,1.31428918223012,optimized,0.0402072504939369,3,2,1.33580378671725,0.101700788787001,0
Adjacent pair actions,4,1.20653347442076,1.21990708873318,,1.20653347442076,optimized,0.0149132926821545,4,8,1.2513252106928,0.0178748761745968,9
Adjacent pair actions,5,1.13092245579076,1.14630353206719,,1.13092245579076,optimized,0.0042100830340981,5,6,1.13092245579076,0.0042100830340981,6
Adjacent pair actions,6,1.05403277683459,1.0544893775688,,1.05403277683459,optimized,0.0005075478449497,6,3,1.05448626432967,0.0005142746896301,1
Adjacent pair actions,7,1.0000000000053,1.0000000005119,1,1,analytic,0,7,,1,0,5
All-pair actions,1,5.53585232056866,5.53585232098351,7,5.53585232056866,optimized,1.33384353741541,1,,7,2.21365670412876,2
All-pair actions,2,2.32477037253896,2.32709304443153,2.82842712474619,2.32477037253896,optimized,0.164706085988115,2,,2.82842712474619,0.26876043324669,5
All-pair actions,3,1.55596705160247,1.67982536117252,1.73205080756888,1.55596705160247,optimized,0.0447164865486947,3,7,1.55596705160247,0.0447164865486947,7
All-pair actions,4,1.41421356250106,1.4142135627768,1.73205080756888,1.41421356250106,optimized,0.0183828080659288,4,1,1.41421356250106,0.0183828080659288,1
All-pair actions,5,1.30433316272541,1.30609686567747,1.73205080756888,1.30433316272541,optimized,0.0117861581190426,5,6,1.30433316272541,0.0117861581190426,6
All-pair actions,6,1.154700538386,1.15470053882774,1.73205080756888,1.154700538386,optimized,0.003533245646199,6,3,1.154700538386,0.003533245646199,3
All-pair actions,7,1.00000000000124,1.00000000048945,1,1,analytic,0,7,,1,0,7
Cycle,1,2.34594912688328,3.44704358471771,,2.34594912688328,optimized,7.91297446972331,1,7,3.34415294226573,109.444450375186,2
Cycle,2,1.00000000012158,1.02171293254996,1,1,analytic,0,2,,1,9.91418328938997e-21,8
Cycle,3,1.00000000074923,1.00213617017719,1,1,analytic,0,2,,1,3.0659516636783e-19,6
Cycle,4,1.00000000026832,1.00000000092904,1,1,analytic,0,2,,1,2.11344214495911e-20,9
Cycle,5,1.00000000025489,1.00000000095266,1,1,analytic,0,2,,1,2.33932842217017e-20,0
Cycle,6,1.00000000056076,1.00001143646029,1,1,analytic,0,2,,1,1.40942029521747e-19,0
Cycle,7,1.00000000000173,1.0000000002529,1,1,analytic,0,2,,1,0,4
