system,n,source_m,run_type,init_kind,seed,exact_hard_required_gain,gain_budget_L,oracle_mse_at_L1,oracle_num_actions,oracle_max_constraint_violation
Cycle,8,1,random optimization,random_gaussian,0,3.6661170479055,1,326.445214050151,1,2.66453525910038e-14
Cycle,8,1,random optimization,random_gaussian,1,3.96102178591902,1,32.1122315855123,1,1.08801856413265e-13
Cycle,8,1,random optimization,random_gaussian,2,2.34594912688328,1,109.444450375186,1,2.48689957516035e-14
Cycle,8,1,random optimization,random_gaussian,3,2.81065268894479,1,18.502161170436,1,2.1049828546893e-13
Cycle,8,1,random optimization,random_gaussian,4,3.5499342271697,1,117.813910041486,1,1.34114941374719e-13
Cycle,8,1,random optimization,random_gaussian,5,3.55227185965517,1,20.7105287175251,1,6.50590692430342e-14
Cycle,8,1,random optimization,random_gaussian,6,4.25583393641959,1,13.0665826394164,1,8.06021915877864e-14
Cycle,8,1,random optimization,random_gaussian,7,3.34415294226573,1,7.91297446972331,1,2.22044604925031e-15
Cycle,8,1,random optimization,random_gaussian,8,2.76683495649394,1,20.0101670157477,1,4.44089209850063e-16
Cycle,8,1,random optimization,random_gaussian,9,3.24350981007517,1,83.8335683428295,1,4.66293670342566e-15
Cycle,8,2,random optimization,random_gaussian,0,1.03888593359429,1,93.1358158289923,1,6.66133814775094e-15
Cycle,8,2,random optimization,random_gaussian,1,1.35590858538131,1,0.246336032474346,1,3.36397576461422e-13
Cycle,8,2,random optimization,random_gaussian,2,1.00510560421137,1,0.0835690848891989,1,2.03503880413791e-12
Cycle,8,2,random optimization,random_gaussian,3,1.03787493413109,1,284.011094357888,1,0
Cycle,8,2,random optimization,random_gaussian,4,1.22341778542471,1,0.135288585327985,1,1.16795462190566e-13
Cycle,8,2,random optimization,random_gaussian,5,1.41899414861818,1,1.04302037579006,1,1.66560099046364e-11
Cycle,8,2,random optimization,random_gaussian,6,1.00000000013632,1,1.05713343341665e-20,1,2.22044604925031e-16
Cycle,8,2,random optimization,random_gaussian,7,1.00000000060717,1,2.91478607304296e-19,1,0
Cycle,8,2,random optimization,random_gaussian,8,1.00000000012158,1,9.91418328938997e-21,1,2.22044604925031e-16
