system,n,m,seed,run_type,init_kind,objective,initial_required_gain,best_required_gain,final_required_gain,min_pairwise_distance,max_pairwise_distance,steps_run,restart_count,converged,stopped_reason,system_label,reported_value
Cycle,4,1,0.0,random_optimization,random_gaussian,generic,4.315996449900963,2.41503098280852,2.422546296716846,1.0,3.4134903094624325,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,1.0,random_optimization,random_gaussian,generic,9.85211992490204,2.4149944072256506,2.4225462967168463,1.0,3.4163133592791413,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,2.0,random_optimization,random_gaussian,generic,9.230472106503598,1.842976096323253,1.8495760559281005,1.0000000000000002,6.147579814195392,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,3.0,random_optimization,random_gaussian,generic,8.18465624197915,1.8430285839226408,1.8495760559281007,1.0,6.146281754593099,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,4.0,random_optimization,random_gaussian,generic,6.254221867031982,2.4161827684417827,2.422546296716849,1.0,3.4161827684417827,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,5.0,random_optimization,random_gaussian,generic,26.80395761024161,2.4157488064189083,2.422546296716848,1.0,3.4129931175875754,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,6.0,random_optimization,random_gaussian,generic,8.783142278868471,2.4158509009248004,2.4225462967168494,1.0,3.4158509009248004,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,7.0,random_optimization,random_gaussian,generic,12.827742407690298,1.8413311328318185,1.8495760559281005,1.0,6.174720593448319,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,8.0,random_optimization,random_gaussian,generic,10.518739180931824,1.844909427105032,1.8495760559281005,1.0,6.1613196113368085,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,1,9.0,random_optimization,random_gaussian,generic,6.196904734046946,1.0022480814457853,1.0022480805719036,1.0,446.8237415403241,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,0.0,random_optimization,random_gaussian,generic,2.3797525048703694,1.0012966332332789,1.0012966326557136,1.0,19.750993422046413,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,1.0,random_optimization,random_gaussian,generic,1.8182935771913464,1.0012630666896378,1.0012630661853394,1.0000000000000002,19.99794765247489,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,2.0,random_optimization,random_gaussian,generic,2.5461223044496246,1.0000000006099723,1.0000000006099723,1.0,1.4142135638915023,402,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,2,3.0,random_optimization,random_gaussian,generic,3.171855270451651,1.0000000009040106,1.0000000009040106,0.9999999999999998,1.41421356415199,410,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,2,4.0,random_optimization,random_gaussian,generic,5.6031632828639,1.0013167828111635,1.0013167825766436,0.9999999999999992,19.59818412998129,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,5.0,random_optimization,random_gaussian,generic,2.234449285222452,1.001186134528017,1.001186134133293,0.9999999999999996,20.6487903565737,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,6.0,random_optimization,random_gaussian,generic,1.2563946162930475,1.0010908833091687,1.001090883168659,0.9999999999999998,21.45106267054802,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,7.0,random_optimization,random_gaussian,generic,4.450417950697359,1.0000000000513465,1.0000000000513465,1.0,1.414213562454195,488,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,2,8.0,random_optimization,random_gaussian,generic,1.6632788923743371,1.0012641306206538,1.0012641304140704,0.9999999999999996,20.00741314278728,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,9.0,random_optimization,random_gaussian,generic,3.240180604492972,1.0013453287088454,1.0013453283468992,0.999999999999999,19.33234719795027,15000,0,False,max_steps,Cycle,exact hard gain
Cycle,4,3,0.0,random_optimization,random_gaussian,generic,1.6378261043361375,1.0000000003674223,1.0000000003674223,1.0,3.0909406756522086,387,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,1.0,random_optimization,random_gaussian,generic,3.253025144527263,1.0000000008017491,1.0000000008017491,1.0,1.1266514058794488,391,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,2.0,random_optimization,random_gaussian,generic,1.7962905170555252,1.0000000005912546,1.0000000005912546,0.9999999999999998,1.7886676215843715,367,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,3.0,random_optimization,random_gaussian,generic,2.0579290723514827,1.0000000003103269,1.0000000003103269,1.0,1.2188287953368184,389,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,4.0,random_optimization,random_gaussian,generic,1.5353523495940875,1.0000000009342225,1.0000000009342225,1.0,1.9087224238259533,366,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,5.0,random_optimization,random_gaussian,generic,2.41044064127618,1.0000000004865126,1.0000000004865126,1.0,1.4411689167702797,393,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,6.0,random_optimization,random_gaussian,generic,2.7981914363401668,1.0000000006148244,1.0000000006148244,1.0000000000000002,1.2446268698717624,377,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,7.0,random_optimization,random_gaussian,generic,1.907906472388652,1.0000000003949296,1.0000000003949296,1.0,3.109795738390845,442,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,8.0,random_optimization,random_gaussian,generic,2.833647597518453,1.0000000009588847,1.0000000009588847,1.0,1.0794504436912615,388,0,True,gain_one_reached,Cycle,exact hard gain
Cycle,4,3,9.0,random_optimization,random_gaussian,generic,1.7452276172098695,1.0000000008497214,1.0000000008497214,1.0,1.1569818991469245,365,0,True,gain_one_reached,Cycle,exact hard gain
AdjacentSwap,4,1,0.0,random_optimization,random_gaussian,generic,3.8247172547191135,2.6197750441548164,2.6249626305442515,1.0,4.234477791086819,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,1.0,random_optimization,random_gaussian,generic,14.978825196222434,2.6189378022631864,2.6249626305442533,1.0,4.237820176184687,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,2.0,random_optimization,random_gaussian,generic,10.230472106503598,2.0000000006033822,2.000000000000004,1.0,3.000000001198792,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,3.0,random_optimization,random_gaussian,generic,9.18465624197915,2.0000000005493392,2.000000000000003,1.0,3.00000000109105,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,4.0,random_optimization,random_gaussian,generic,3.989163535778524,2.207250599102858,2.208632597918077,1.0000000000000002,5.870058263736849,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,5.0,random_optimization,random_gaussian,generic,27.80395761024161,2.6189958662684987,2.624962630544253,1.0,4.238673826033701,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,6.0,random_optimization,random_gaussian,generic,5.799716014698505,2.2079671117911626,2.208632597918077,1.0,5.820669634968198,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,7.0,random_optimization,random_gaussian,generic,11.827742407690298,2.00355815275304,2.0127891751626894,1.0,3.012243681712925,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,8.0,random_optimization,random_gaussian,generic,19.98430124076032,2.000000000534569,2.000000000000001,1.0,3.000000001021057,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,1,9.0,random_optimization,random_gaussian,generic,7.768647102375672,2.415090323131525,2.4204429110119032,1.0,5.820489092563541,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,0.0,random_optimization,random_gaussian,generic,1.775399896874295,1.275236510214886,1.2778328133120502,1.0,1.6180567264567065,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,1.0,random_optimization,random_gaussian,generic,1.8309715810880964,1.2725428163982544,1.2729591383843246,1.0,1.6179901328910071,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,2.0,random_optimization,random_gaussian,generic,2.4960748214415664,1.2762072823711186,1.2778328133120502,1.0,1.6178098699988386,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,3.0,random_optimization,random_gaussian,generic,2.274305560972083,1.2764661456362123,1.2778328133120502,1.0,1.6149480967773673,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,4.0,random_optimization,random_gaussian,generic,5.275576643203396,1.275317417778452,1.2778328133120505,1.0,1.6160050777561443,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,5.0,random_optimization,random_gaussian,generic,2.760092875223966,1.2754100847090843,1.277832813312051,1.0000000000000002,1.6246611373059408,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,6.0,random_optimization,random_gaussian,generic,2.994551556888267,1.2726115403892355,1.2729591383843244,1.0,1.6178069932291534,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,7.0,random_optimization,random_gaussian,generic,5.447506081820238,1.2739311660248265,1.2778328133120511,1.0,1.617205665372951,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,8.0,random_optimization,random_gaussian,generic,1.8910689182609275,1.272743412011214,1.2729591383843242,1.0000000000000002,1.6169617926016076,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,9.0,random_optimization,random_gaussian,generic,2.673051551984343,1.2729100100946371,1.2729591383843248,1.0,1.617302799968479,15000,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,0.0,random_optimization,random_gaussian,generic,1.601960013301587,1.0000000008156145,1.0000000008156145,1.0000000000000002,1.0000000013452015,372,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,1.0,random_optimization,random_gaussian,generic,3.235721157687977,1.0000000007315293,1.0000000007315293,1.0,1.0000000013684176,390,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,2.0,random_optimization,random_gaussian,generic,2.9931778408918994,1.000000000096201,1.000000000096201,1.0,1.0000000001673466,416,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,3.0,random_optimization,random_gaussian,generic,2.548067933767244,1.000000000108366,1.000000000108366,1.0,1.000000000108366,425,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,4.0,random_optimization,random_gaussian,generic,2.40971762889744,1.0000000007227623,1.0000000007227623,1.0000000000000002,1.000000000843554,383,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,5.0,random_optimization,random_gaussian,generic,3.7323942508776926,1.0000000004679448,1.0000000004679448,0.9999999999999998,1.0000000008752858,416,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,6.0,random_optimization,random_gaussian,generic,3.3833716999506414,1.0000000000930784,1.0000000000930784,1.0,1.0000000001436946,422,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,7.0,random_optimization,random_gaussian,generic,2.395690323585639,1.0000000003642548,1.0000000003642548,0.9999999999999998,1.000000000996507,432,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,8.0,random_optimization,random_gaussian,generic,2.385963411906629,1.0000000008400816,1.0000000008400816,1.0,1.0000000010770898,400,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,9.0,random_optimization,random_gaussian,generic,2.139585706357458,1.0000000009164736,1.0000000009164736,1.0,1.000000002322568,376,0,True,gain_one_reached,Adjacent transpositions,exact hard gain
AllSwap,4,1,0.0,random_optimization,random_gaussian,generic,3.8247172547191135,2.619079542696048,2.624946759201734,1.0,4.230658555614065,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,1.0,random_optimization,random_gaussian,generic,14.978825196222434,2.61956200007792,2.624946759201737,1.0,4.230913661321093,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,2.0,random_optimization,random_gaussian,generic,10.230472106503598,2.61906479428559,2.624946759201736,1.0,4.2307884056124525,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,3.0,random_optimization,random_gaussian,generic,9.18465624197915,2.620569243452071,2.624946759201737,1.0,4.235454245816467,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,4.0,random_optimization,random_gaussian,generic,3.989163535778524,2.619193798212429,2.624946759201737,1.0,4.238025604170023,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,5.0,random_optimization,random_gaussian,generic,27.80395761024161,2.6194930966022323,2.6249467592017384,1.0,4.230863348404542,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,6.0,random_optimization,random_gaussian,generic,5.799716014698505,2.6187703446452013,2.6249467592017366,1.0,4.237091433929993,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,7.0,random_optimization,random_gaussian,generic,12.827742407690298,2.6194766976386594,2.624946759201737,1.0,4.230808231932992,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,8.0,random_optimization,random_gaussian,generic,20.98430124076032,2.6194596539934856,2.624946759201737,1.0,4.230935081395792,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,1,9.0,random_optimization,random_gaussian,generic,7.768647102375672,2.619031560017708,2.624946759201736,1.0,4.2378009346427925,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,2,0.0,random_optimization,random_gaussian,generic,2.3797525048703694,1.4142135627974202,1.414213562373097,1.0,1.4142135627974202,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,2,1.0,random_optimization,random_gaussian,generic,3.13987854949986,1.414213562589116,1.4142135623730967,1.0,1.414213562589116,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,2,2.0,random_optimization,random_gaussian,generic,2.4960748214415664,1.7320508078914214,1.73205080756888,1.0,1.732050807918652,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,2,3.0,random_optimization,random_gaussian,generic,3.171855270451651,1.7320508081198496,1.73205080756888,1.0,1.7320508084354898,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,2,4.0,random_optimization,random_gaussian,generic,5.603163282863899,1.4142135628654804,1.4142135623730971,1.0,1.4142135628654804,15000,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,2,5.0,random_optimization,random_gaussian,generic,3.18900901091484,1.7320508082464878,1.73205080756888,1.0,1.7320508082464876,15000,0,False,max_steps,Complete transpositions,exact hard gain
