system,system_label,n,m,theoretical_L1_threshold,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,mean_optimized_gain,std_optimized_gain,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,optimized_result_interpretation
AdjacentSwap,Adjacent transpositions,4,1,3,2.000000000534569,2.2076088554470106,2.0008895386407968,2.567975932480271,0.5670863938394741,2.269157490115238,0.2616140694338386,,,2.000000000534569,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,4,2,3,1.2725428163982544,1.2745838381198562,1.2727850615320697,1.2753869179764263,0.0026018564443566206,1.2743376385627923,0.0014795232812876665,,,1.2725428163982544,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,4,3,3,1.0000000000930784,1.0000000005953535,1.0000000001723381,1.0000000007945933,6.222551363066486e-10,1.0000000005156306,3.147974128233832e-10,1.0000000000000009,regular_simplex,1.0000000000000009,analytic,True,True,True,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,1,5,2.4165712914081787,3.279234132531137,3.207675198422811,3.368263904722011,0.16058870629919975,3.1992182290152895,0.3154882598268866,,,2.4165712914081787,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,2,5,1.4077678735078547,1.4757543716854953,1.433043286150501,1.5534247886788157,0.12038150252831481,1.4927264825477244,0.06650736028448237,,,1.4077678735078547,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,3,5,1.2284800679442396,1.2559281252439747,1.2547459839248825,1.2650619276507686,0.010315943725886179,1.2580360179153043,0.014342951799960132,,,1.2284800679442396,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,4,5,1.099918572479458,1.100912190507262,1.1008590555292588,1.1444844674052599,0.04362541187600111,1.119662800989552,0.023658076776088933,,,1.099918572479458,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,5,5,1.0000000002321583,1.0000000007159544,1.0000000005146403,1.0000000008861707,3.715303620310806e-10,1.00000000068961,2.338369629646245e-10,1.0000000000000009,regular_simplex,1.0000000000000009,analytic,True,True,True,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,1,7,3.206573975685469,4.208219817872858,3.80514694295109,4.324491944904859,0.5193450019537695,4.05974713608249,0.4455958969701982,,,3.206573975685469,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,2,7,1.560477598995624,1.6100568298406261,1.5934504919778578,1.6545078641255433,0.061057372147685474,1.6370010961977743,0.06636724914150288,,,1.560477598995624,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,3,7,1.314289182230122,1.332669651369201,1.316577257732447,1.3426182379056628,0.026040980173215766,1.3348378158556913,0.019846753711542424,,,1.314289182230122,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,4,7,1.2065334744207634,1.2199070887331764,1.2111984054148857,1.2316416520554494,0.02044324664056374,1.2251052060586307,0.018509452137334723,,,1.2065334744207634,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,5,7,1.130922455790764,1.1463035320671886,1.1367532049826725,1.1497677751832,0.013014570200527542,1.1446837237267005,0.009679948358761192,,,1.130922455790764,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,6,7,1.0540327768345925,1.0544893775688,1.0542955104524705,1.082107049941757,0.027811539489286607,1.0655422325389878,0.017069732588337275,,,1.0540327768345925,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,7,7,1.0000000000052995,1.0000000005118972,1.0000000003259002,1.0000000006377703,3.118700853121936e-10,1.0000000004683658,2.757172012923165e-10,1.0000000000000009,regular_simplex,1.0000000000000009,analytic,True,True,True,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,1,9,4.26077561750487,5.141642851685804,4.976016842413138,5.559326616103129,0.583309773689991,5.2139891438071055,0.46941623659394904,,,4.26077561750487,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,2,9,1.5599115343547527,1.651732177027169,1.6459476081963245,1.861385171896345,0.21543756370002054,1.737716528497153,0.1540263707998114,,,1.5599115343547527,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,3,9,1.329778131870537,1.3942392828066852,1.3860704913474566,1.3979549595602128,0.011884468212756127,1.3854017995920627,0.024344476483536086,,,1.329778131870537,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,4,9,1.247963194597117,1.2559534441724987,1.253581102649347,1.2636293444396238,0.010048241790276746,1.259473101426771,0.009656371891694859,,,1.247963194597117,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,5,9,1.17017322608152,1.180338901266769,1.1762578168735782,1.2021351132417708,0.02587729636819258,1.189790963531339,0.019136607392614705,,,1.17017322608152,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,6,9,1.1351416765447373,1.150771920035516,1.14499799899694,1.1617611396421983,0.01676314064525819,1.1511441394091508,0.010886977131795022,,,1.1351416765447373,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,7,9,1.0771673142413634,1.0771816037168311,1.0771768909923585,1.0771919713221882,1.5080329829775252e-05,1.081099334951686,0.00803704418510774,,,1.0771673142413634,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,8,9,1.0340212864859375,1.047930914586451,1.0346019711568206,1.061656385841845,0.027054414685024453,1.048050703075634,0.013622483789060192,,,1.0340212864859375,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,10,9,9,1.000000000046385,1.000000000595026,1.0000000003399427,1.0000000007681966,4.282538768052291e-10,1.0000000005370775,3.062869312907369e-10,1.0000000000000009,regular_simplex,1.0000000000000009,analytic,True,True,True,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,4,1,3,2.6187703446452013,2.6193267261029574,2.6190684813882044,2.619488996861339,0.00042051547313448623,2.619370073162134,0.0004682216399823645,3.0,grid,2.6187703446452013,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,4,2,3,1.414213562589116,1.4142135630580013,1.4142135628292247,1.7320508080627426,0.31783724523351786,1.5413484609870958,0.15570781445091736,1.4142135623730951,grid,1.4142135623730951,analytic,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,4,3,3,1.0000000002096037,1.0000000005546112,1.0000000003792826,1.0000000007090384,3.297557782389049e-10,1.000000000564015,2.3039346877936805e-10,1.0000000000000004,regular_simplex,1.0000000000000004,analytic,True,True,True,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,1,5,4.081561863233986,4.08370634460412,4.083447593806191,4.085271681009069,0.0018240872028778554,4.083958301830966,0.0014144112694013673,5.0,grid,4.081561863233986,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,2,5,1.9021130326159608,1.9021130331616072,1.9021130327986686,1.9021130332987737,5.00105068468315e-10,1.9021130330619722,3.024693998533047e-10,2.23606797749979,grid,1.9021130326159608,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,3,5,1.4142135623830328,1.4142135627211172,1.414213562528401,1.4142135631885795,6.601785784710046e-10,1.4433959957859999,0.08754729908479658,1.7320508075688772,grid,1.4142135623830328,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,4,5,1.224744871560009,1.2702571749442213,1.224744872274883,1.2702751816797293,0.04553030940484626,1.2520594565216991,0.02230226724223875,1.7320508075688772,grid,1.224744871560009,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,6,5,5,1.0000000001094016,1.0000000005029914,1.0000000001796867,1.0000000007344898,5.548030923563374e-10,1.0000000004744642,2.7825777355527043e-10,1.0000000000000009,regular_simplex,1.0000000000000009,analytic,True,True,True,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,1,7,5.535852320568658,5.53585232098351,5.535852320732051,5.535852321088724,3.566729134263369e-10,5.535852320927664,2.461458880081607e-10,7.0,grid,5.535852320568658,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,2,7,2.32477037253896,2.3270930444315265,2.3267107534886424,2.327205494273388,0.0004947407847457619,2.3268910807096823,0.0008176989018988783,2.8284271247461903,grid,2.32477037253896,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,3,7,1.5559670516024704,1.6798253611725242,1.5559670516900002,1.8205135948517128,0.26454654316171267,1.6865861080925106,0.1307065234496081,1.7320508075688772,grid,1.5559670516024704,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,4,7,1.414213562501062,1.4142135627767993,1.414213562624186,1.4142135629409354,3.1674929346081626e-10,1.4142135628263637,2.5776167869185913e-10,1.7320508075688772,grid,1.414213562501062,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,5,7,1.3043331627254149,1.306096865677471,1.305979103956601,1.306259482251284,0.00028037829468297026,1.3059246189423104,0.0005782902220261843,1.7320508075688772,grid,1.3043331627254149,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,6,7,1.1547005383860045,1.1547005388277367,1.1547005386002342,1.166974165685911,0.012273627085676697,1.1596099895356446,0.007499310032101367,1.7320508075688772,grid,1.1547005383860045,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,8,7,7,1.0000000000012412,1.0000000004894494,1.0000000003438054,1.0000000006855676,3.417621741164112e-10,1.0000000005060268,2.584774158571882e-10,1.000000000000001,regular_simplex,1.000000000000001,analytic,True,True,True,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,1,9,6.982688335579082,6.9826883370649835,6.982688336325779,6.9826883374175726,1.091793322416379e-09,6.982688336849447,7.653444126635562e-10,9.0,grid,6.982688335579082,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,2,9,2.5590967168439054,2.5605206981934354,2.559448303927592,2.560862836030095,0.0014145321025029745,2.5602454809345465,0.000837137343275468,3.605551275463989,grid,2.5590967168439054,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,3,9,1.7775910066092997,1.8564874854983318,1.8564114951025121,1.8610913715063266,0.004679876403814509,1.842534631060937,0.03258005693094469,3.0,grid,1.7775910066092997,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,4,9,1.4142135624344132,1.4142135628020795,1.4142135625693588,1.4142135631156116,5.462528207544892e-10,1.4142135628305712,2.7856243395274815e-10,2.0,grid,1.4142135624344132,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,5,9,1.414213562449384,1.4142135629495016,1.4142135627996553,1.4142135630946722,2.9501689979838375e-10,1.4142135628918302,2.514810822776859e-10,2.0,grid,1.414213562449384,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,6,9,1.3054679094775732,1.3060636266926342,1.3058706156582023,1.3062161078202625,0.0003454921620602569,1.3060404797143537,0.0002691790865687553,2.0,grid,1.3054679094775732,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,7,9,1.2123555047268972,1.2146717478930293,1.214382400959121,1.2152041541228384,0.0008217531637173536,1.2145995379446775,0.0008581079386171061,2.0,grid,1.2123555047268972,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AllSwap,Complete transpositions,10,8,9,1.118033988760761,1.1180339892166478,1.118033989009929,1.1180339895873188,5.773899136585214e-10,1.1180339892654145,3.150135858412577e-10,2.0,grid,1.118033988760761,optimized,False,False,False,empirical upper bound on the dimension--gain profile
