system,n,m,seed,run_type,init_kind,objective,initial_required_gain,best_required_gain,final_required_gain,min_pairwise_distance,max_pairwise_distance,steps_run,restart_count,converged,stopped_reason,system_label,reported_value
Cycle,4,1,0.0,random_optimization,random_gaussian,generic,4.315996449900963,4.111535051224615,4.111535051224615,0.9999999999999999,4.111535051224614,1,0,False,max_steps,Cycle,exact hard gain
Cycle,4,2,0.0,random_optimization,random_gaussian,generic,2.3797525048703694,2.2523412927405566,2.2523412927405566,1.0,2.2523412927405566,1,0,False,max_steps,Cycle,exact hard gain
Cycle,4,3,0.0,random_optimization,random_gaussian,generic,1.6378261043361375,1.5589120565987942,1.5589120565987942,0.9999999999999999,2.085708854220022,1,0,False,max_steps,Cycle,exact hard gain
AdjacentSwap,4,1,0.0,random_optimization,random_gaussian,generic,3.8247172547191135,3.6937840666021993,3.6937840666021993,1.0,4.315996455086756,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,2,0.0,random_optimization,random_gaussian,generic,1.775399896874295,1.6660233109102365,1.6660233109102365,1.0,2.2611873710488837,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,4,3,0.0,random_optimization,random_gaussian,generic,1.601960013301587,1.5271190424839074,1.5271190424839074,1.0000000000000002,2.132426329481782,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AllSwap,4,1,0.0,random_optimization,random_gaussian,generic,3.8247172547191135,3.6937840665566597,3.6937840665566597,1.0,4.315996455348607,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,2,0.0,random_optimization,random_gaussian,generic,2.3797525048703694,2.2523412930637354,2.2523412930637354,0.9999999999999998,2.252341293063735,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,4,3,0.0,random_optimization,random_gaussian,generic,2.081382827178598,1.9471573477673387,1.9471573477673387,1.0,1.9471573477673387,1,0,False,max_steps,Complete transpositions,exact hard gain
Cycle,6,1,0.0,random_optimization,random_gaussian,generic,9.359578849677138,8.999595053019618,8.999595053019618,1.0,11.34977005172161,1,0,False,max_steps,Cycle,exact hard gain
Cycle,6,2,0.0,random_optimization,random_gaussian,generic,3.6614699238608424,3.4571534487106614,3.4571534487106614,1.0,6.092951749980772,1,0,False,max_steps,Cycle,exact hard gain
Cycle,6,3,0.0,random_optimization,random_gaussian,generic,2.67364128358615,2.460518146282032,2.460518146282032,0.9999999999999998,2.9699133321862083,1,0,False,max_steps,Cycle,exact hard gain
Cycle,6,4,0.0,random_optimization,random_gaussian,generic,2.107336066091135,1.8977564836684835,1.8977564836684835,1.0,2.840306294615406,1,0,False,max_steps,Cycle,exact hard gain
Cycle,6,5,0.0,random_optimization,random_gaussian,generic,1.6641151842224202,1.4872390152580817,1.4872390152580817,1.0,2.2036423309389033,1,0,False,max_steps,Cycle,exact hard gain
AdjacentSwap,6,1,0.0,random_optimization,random_gaussian,generic,6.262959060624613,6.022076023365631,6.022076023365631,1.0,11.388168565159356,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,6,2,0.0,random_optimization,random_gaussian,generic,2.533860894560602,2.4623391321543266,2.4623391321543266,1.0,6.384249095412021,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,6,3,0.0,random_optimization,random_gaussian,generic,2.641438135202161,2.4836764129169038,2.4836764129169038,0.9999999999999999,2.947944249082343,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,6,4,0.0,random_optimization,random_gaussian,generic,2.6121797133070928,2.4626986131434525,2.4626986131434525,1.0000000000000002,2.892607155337923,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AdjacentSwap,6,5,0.0,random_optimization,random_gaussian,generic,2.075420034289245,1.971744014662227,1.971744014662227,1.0000000000000002,2.220051603165165,1,0,False,max_steps,Adjacent transpositions,exact hard gain
AllSwap,6,1,0.0,random_optimization,random_gaussian,generic,9.359578849677138,8.999595052906036,8.999595052906036,1.0,11.388167786233335,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,6,2,0.0,random_optimization,random_gaussian,generic,3.7836155515532437,3.6130356741304075,3.6130356741304075,1.0,6.047215491223423,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,6,3,0.0,random_optimization,random_gaussian,generic,3.1122741064223094,2.9302086878076636,2.9302086878076636,1.0,2.9302086878076636,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,6,4,0.0,random_optimization,random_gaussian,generic,2.9167473770338286,2.7170937060495515,2.7170937060495515,0.9999999999999999,2.855389523729662,1,0,False,max_steps,Complete transpositions,exact hard gain
AllSwap,6,5,0.0,random_optimization,random_gaussian,generic,2.3998615994835024,2.2036423196777046,2.2036423196777046,0.9999999999999999,2.203642319677704,1,0,False,max_steps,Complete transpositions,exact hard gain
