system,system_label,n,m,theoretical_L1_threshold,best_optimized_gain,median_optimized_gain,optimized_gain_q1,optimized_gain_q3,optimized_gain_iqr,mean_optimized_gain,std_optimized_gain,analytic_construction_gain,analytic_construction_kind,best_available_upper_bound,best_solution_source,optimized_L1_feasible,analytic_L1_feasible,best_available_L1_feasible,optimized_result_interpretation
AdjacentSwap,Adjacent transpositions,4,1,3,3.6937840666021993,3.6937840666021993,3.6937840666021993,3.6937840666021993,0.0,3.6937840666021993,0.0,,,3.6937840666021993,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,4,2,3,1.6660233109102365,1.6660233109102365,1.6660233109102365,1.6660233109102365,0.0,1.6660233109102365,0.0,,,1.6660233109102365,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,4,3,3,1.5271190424839074,1.5271190424839074,1.5271190424839074,1.5271190424839074,0.0,1.5271190424839074,0.0,1.0000000000000007,regular_simplex,1.0000000000000007,analytic,False,True,True,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,1,5,6.022076023365631,6.022076023365631,6.022076023365631,6.022076023365631,0.0,6.022076023365631,0.0,,,6.022076023365631,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,2,5,2.4623391321543266,2.4623391321543266,2.4623391321543266,2.4623391321543266,0.0,2.4623391321543266,0.0,,,2.4623391321543266,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,3,5,2.4836764129169038,2.4836764129169038,2.4836764129169038,2.4836764129169038,0.0,2.4836764129169038,0.0,,,2.4836764129169038,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,4,5,2.4626986131434525,2.4626986131434525,2.4626986131434525,2.4626986131434525,0.0,2.4626986131434525,0.0,,,2.4626986131434525,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,6,5,5,1.971744014662227,1.971744014662227,1.971744014662227,1.971744014662227,0.0,1.971744014662227,0.0,1.0000000000000007,regular_simplex,1.0000000000000007,analytic,False,True,True,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,1,7,15.001256650398073,15.001256650398073,15.001256650398073,15.001256650398073,0.0,15.001256650398073,0.0,,,15.001256650398073,optimized,False,False,False,empirical upper bound on the dimension--gain profile
AdjacentSwap,Adjacent transpositions,8,2,7,5.525993748283953,5.525993748283953,5.525993748283953,5.525993748283953,0.0,5.525993748283953,0.0,,,5.525993748283953,optimized,False,False,False,empirical upper bound on the dimension--gain profile
