system,n,m,seed,run_type,init_kind,objective,initial_required_gain,best_required_gain,final_required_gain,min_pairwise_distance,max_pairwise_distance,steps_run,restart_count,converged,stopped_reason
AdjacentSwap,4,3,-1,explicit_initialization,regular_simplex,generic,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0000000000000002,1.0000000000000007,0,0,True,gain_one_reached
Cycle,4,2,-1,explicit_initialization,regular_polygon,generic,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.4142135623730951,0,0,True,gain_one_reached
Cycle,4,3,-1,explicit_initialization,regular_polygon,generic,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.4142135623730951,0,0,True,gain_one_reached
Cycle,4,3,-1,explicit_initialization,regular_simplex,generic,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0000000000000007,0,0,True,gain_one_reached
AllSwap,4,1,-1,explicit_initialization,grid,generic,3.0,2.855308495514279,2.855308495514279,1.0,3.3383375828594364,3,0,False,max_steps
AllSwap,4,2,-1,explicit_initialization,grid,generic,1.4142135623730951,1.4142135623730951,1.4231903372626116,1.0,1.4142135623730951,3,0,False,max_steps
AllSwap,4,3,-1,explicit_initialization,regular_simplex,generic,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0000000000000007,0,0,True,gain_one_reached
AllSwap,4,3,-1,explicit_initialization,grid,generic,1.4142135623730951,1.4142135623730951,1.4231903372626116,1.0,1.4142135623730951,3,0,False,max_steps
AdjacentSwap,6,5,-1,explicit_initialization,regular_simplex,generic,1.0000000000000007,1.0000000000000007,1.0000000000000007,1.0,1.000000000000001,0,0,True,gain_one_reached
Cycle,6,2,-1,explicit_initialization,regular_polygon,generic,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0,2.000000000000001,0,0,True,gain_one_reached
Cycle,6,3,-1,explicit_initialization,regular_polygon,generic,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0,2.000000000000001,0,0,True,gain_one_reached
Cycle,6,4,-1,explicit_initialization,regular_polygon,generic,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0,2.000000000000001,0,0,True,gain_one_reached
Cycle,6,5,-1,explicit_initialization,regular_polygon,generic,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0,2.000000000000001,0,0,True,gain_one_reached
Cycle,6,5,-1,explicit_initialization,regular_simplex,generic,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0,1.000000000000001,0,0,True,gain_one_reached
AllSwap,6,1,-1,explicit_initialization,grid,generic,5.0,4.709892562990884,4.709892562990884,1.0,5.431849429295645,3,0,False,max_steps
AllSwap,6,2,-1,explicit_initialization,grid,generic,2.23606797749979,2.23606797749979,2.2814962689898177,1.0,2.23606797749979,3,0,False,max_steps
AllSwap,6,3,-1,explicit_initialization,grid,generic,1.7320508075688772,1.6490510416308766,1.6490510416308766,1.0,1.8299486434916215,3,0,False,max_steps
AllSwap,6,4,-1,explicit_initialization,grid,generic,1.7320508075688772,1.6490510416308766,1.6490510416308766,1.0,1.8299486434916215,3,0,False,max_steps
AllSwap,6,5,-1,explicit_initialization,regular_simplex,generic,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0,1.000000000000001,0,0,True,gain_one_reached
AllSwap,6,5,-1,explicit_initialization,grid,generic,1.7320508075688772,1.6490510416308766,1.6490510416308766,1.0,1.8299486434916215,3,0,False,max_steps
