component,eigenvalue
1,4218.000000000001
2,4218.0
3,4217.999999999999
4,1.573551158069693e-12
5,1.3747481619987943e-12
6,1.2434858516073224e-12
7,1.0560582109997254e-12
8,9.414162855245264e-13
9,9.014581672289984e-13
10,8.61914044179958e-13
11,7.766506425905734e-13
12,7.448485023932381e-13
13,5.849185289954625e-13
14,5.154569824243658e-13
15,4.815759751638419e-13
16,4.709429049755751e-13
17,4.09641313165371e-13
18,3.548044657323395e-13
19,3.15729933374338e-13
20,2.910930188427548e-13
21,2.7092574922946476e-13
22,2.4171459990587157e-13
23,2.236886675974756e-13
24,2.084837347631298e-13
25,1.7975929270982319e-13
26,1.5479637500925972e-13
27,1.4609478971042998e-13
28,1.37993633419368e-13
29,1.1249456686537816e-13
30,1.028981564682126e-13
31,7.9872347704787e-14
32,5.583605851302031e-14
33,4.003772139004205e-14
34,3.554222822319226e-14
35,2.483914758428033e-14
36,1.7703835465194e-14
37,1.0356225498453352e-14
38,6.915163857528826e-16
39,-1.3050391932735458e-14
40,-1.591758588174942e-14
41,-2.2564225865597555e-14
42,-2.727639968743803e-14
43,-4.125019223335301e-14
44,-4.585455412447739e-14
45,-5.669917889225324e-14
46,-6.748180010925052e-14
47,-8.099758224004384e-14
48,-1.0433467910872285e-13
49,-1.2183990718712865e-13
50,-1.356374082346307e-13
51,-1.6710063918241014e-13
52,-1.9858856327655065e-13
53,-2.2082975150327067e-13
54,-2.4313983704382566e-13
55,-2.820864034321905e-13
56,-3.041619062789103e-13
57,-3.283757659545601e-13
58,-3.4274766515746397e-13
59,-4.052246342915047e-13
60,-4.539883336559311e-13
61,-4.809452113586808e-13
62,-5.432894527237171e-13
63,-5.980270161889461e-13
64,-6.541764926275383e-13
65,-6.817465940410005e-13
66,-7.386696178585584e-13
67,-9.595710785962834e-13
68,-1.0032562218571292e-12
69,-1.104269444225117e-12
70,-1.1125471042649304e-12
71,-1.2568372382887512e-12
72,-1.4567195485190561e-12
73,-1013.5068493150683
