maze,state_id,row,col,action,next_id,next_row,next_col
A,0,0,0,U,0,0,0
A,0,0,0,D,8,1,0
A,0,0,0,L,0,0,0
A,0,0,0,R,1,0,1
A,1,0,1,U,1,0,1
A,1,0,1,D,9,1,1
A,1,0,1,L,0,0,0
A,1,0,1,R,2,0,2
A,2,0,2,U,2,0,2
A,2,0,2,D,10,1,2
A,2,0,2,L,1,0,1
A,2,0,2,R,3,0,3
A,3,0,3,U,3,0,3
A,3,0,3,D,11,1,3
A,3,0,3,L,2,0,2
A,3,0,3,R,4,0,4
A,4,0,4,U,4,0,4
A,4,0,4,D,12,1,4
A,4,0,4,L,3,0,3
A,4,0,4,R,5,0,5
A,5,0,5,U,5,0,5
A,5,0,5,D,13,1,5
A,5,0,5,L,4,0,4
A,5,0,5,R,6,0,6
A,6,0,6,U,6,0,6
A,6,0,6,D,14,1,6
A,6,0,6,L,5,0,5
A,6,0,6,R,7,0,7
A,7,0,7,U,7,0,7
A,7,0,7,D,15,1,7
A,7,0,7,L,6,0,6
A,7,0,7,R,7,0,7
A,8,1,0,U,0,0,0
A,8,1,0,D,16,2,0
A,8,1,0,L,8,1,0
A,8,1,0,R,9,1,1
A,9,1,1,U,1,0,1
A,9,1,1,D,17,2,1
A,9,1,1,L,8,1,0
A,9,1,1,R,10,1,2
A,10,1,2,U,2,0,2
A,10,1,2,D,18,2,2
A,10,1,2,L,9,1,1
A,10,1,2,R,11,1,3
A,11,1,3,U,3,0,3
A,11,1,3,D,19,2,3
A,11,1,3,L,10,1,2
A,11,1,3,R,11,1,3
A,12,1,4,U,4,0,4
A,12,1,4,D,20,2,4
A,12,1,4,L,12,1,4
A,12,1,4,R,13,1,5
A,13,1,5,U,5,0,5
A,13,1,5,D,21,2,5
A,13,1,5,L,12,1,4
A,13,1,5,R,14,1,6
A,14,1,6,U,6,0,6
A,14,1,6,D,22,2,6
A,14,1,6,L,13,1,5
A,14,1,6,R,15,1,7
A,15,1,7,U,7,0,7
A,15,1,7,D,23,2,7
A,15,1,7,L,14,1,6
A,15,1,7,R,15,1,7
A,16,2,0,U,8,1,0
A,16,2,0,D,24,3,0
A,16,2,0,L,16,2,0
A,16,2,0,R,17,2,1
A,17,2,1,U,9,1,1
A,17,2,1,D,25,3,1
A,17,2,1,L,16,2,0
A,17,2,1,R,18,2,2
A,18,2,2,U,10,1,2
A,18,2,2,D,26,3,2
A,18,2,2,L,17,2,1
A,18,2,2,R,19,2,3
A,19,2,3,U,11,1,3
A,19,2,3,D,27,3,3
A,19,2,3,L,18,2,2
A,19,2,3,R,19,2,3
A,20,2,4,U,12,1,4
A,20,2,4,D,28,3,4
A,20,2,4,L,20,2,4
A,20,2,4,R,21,2,5
A,21,2,5,U,13,1,5
A,21,2,5,D,29,3,5
A,21,2,5,L,20,2,4
A,21,2,5,R,22,2,6
A,22,2,6,U,14,1,6
A,22,2,6,D,30,3,6
A,22,2,6,L,21,2,5
A,22,2,6,R,23,2,7
A,23,2,7,U,15,1,7
A,23,2,7,D,31,3,7
A,23,2,7,L,22,2,6
A,23,2,7,R,23,2,7
A,24,3,0,U,16,2,0
A,24,3,0,D,32,4,0
A,24,3,0,L,24,3,0
A,24,3,0,R,25,3,1
A,25,3,1,U,17,2,1
A,25,3,1,D,33,4,1
A,25,3,1,L,24,3,0
A,25,3,1,R,26,3,2
A,26,3,2,U,18,2,2
A,26,3,2,D,34,4,2
A,26,3,2,L,25,3,1
A,26,3,2,R,27,3,3
A,27,3,3,U,19,2,3
A,27,3,3,D,35,4,3
A,27,3,3,L,26,3,2
A,27,3,3,R,27,3,3
A,28,3,4,U,20,2,4
A,28,3,4,D,36,4,4
A,28,3,4,L,28,3,4
A,28,3,4,R,29,3,5
A,29,3,5,U,21,2,5
A,29,3,5,D,37,4,5
A,29,3,5,L,28,3,4
A,29,3,5,R,30,3,6
A,30,3,6,U,22,2,6
A,30,3,6,D,38,4,6
A,30,3,6,L,29,3,5
A,30,3,6,R,31,3,7
A,31,3,7,U,23,2,7
A,31,3,7,D,39,4,7
A,31,3,7,L,30,3,6
A,31,3,7,R,31,3,7
A,32,4,0,U,24,3,0
A,32,4,0,D,40,5,0
A,32,4,0,L,32,4,0
A,32,4,0,R,33,4,1
A,33,4,1,U,25,3,1
A,33,4,1,D,41,5,1
A,33,4,1,L,32,4,0
A,33,4,1,R,34,4,2
A,34,4,2,U,26,3,2
A,34,4,2,D,42,5,2
A,34,4,2,L,33,4,1
A,34,4,2,R,35,4,3
A,35,4,3,U,27,3,3
A,35,4,3,D,43,5,3
A,35,4,3,L,34,4,2
A,35,4,3,R,36,4,4
A,36,4,4,U,28,3,4
A,36,4,4,D,36,4,4
A,36,4,4,L,35,4,3
A,36,4,4,R,37,4,5
A,37,4,5,U,29,3,5
A,37,4,5,D,37,4,5
A,37,4,5,L,36,4,4
A,37,4,5,R,38,4,6
A,38,4,6,U,30,3,6
A,38,4,6,D,38,4,6
A,38,4,6,L,37,4,5
A,38,4,6,R,39,4,7
A,39,4,7,U,31,3,7
A,39,4,7,D,47,5,7
A,39,4,7,L,38,4,6
A,39,4,7,R,39,4,7
A,40,5,0,U,32,4,0
A,40,5,0,D,48,6,0
A,40,5,0,L,40,5,0
A,40,5,0,R,41,5,1
A,41,5,1,U,33,4,1
A,41,5,1,D,49,6,1
A,41,5,1,L,40,5,0
A,41,5,1,R,42,5,2
A,42,5,2,U,34,4,2
A,42,5,2,D,50,6,2
A,42,5,2,L,41,5,1
A,42,5,2,R,43,5,3
A,43,5,3,U,35,4,3
A,43,5,3,D,51,6,3
A,43,5,3,L,42,5,2
A,43,5,3,R,44,5,4
A,44,5,4,U,44,5,4
A,44,5,4,D,52,6,4
A,44,5,4,L,43,5,3
A,44,5,4,R,45,5,5
A,45,5,5,U,45,5,5
A,45,5,5,D,53,6,5
A,45,5,5,L,44,5,4
A,45,5,5,R,46,5,6
A,46,5,6,U,46,5,6
A,46,5,6,D,54,6,6
A,46,5,6,L,45,5,5
A,46,5,6,R,47,5,7
A,47,5,7,U,39,4,7
A,47,5,7,D,55,6,7
A,47,5,7,L,46,5,6
A,47,5,7,R,47,5,7
A,48,6,0,U,40,5,0
A,48,6,0,D,56,7,0
A,48,6,0,L,48,6,0
A,48,6,0,R,49,6,1
A,49,6,1,U,41,5,1
A,49,6,1,D,57,7,1
A,49,6,1,L,48,6,0
A,49,6,1,R,50,6,2
A,50,6,2,U,42,5,2
A,50,6,2,D,58,7,2
A,50,6,2,L,49,6,1
A,50,6,2,R,51,6,3
A,51,6,3,U,43,5,3
A,51,6,3,D,59,7,3
A,51,6,3,L,50,6,2
A,51,6,3,R,52,6,4
A,52,6,4,U,44,5,4
A,52,6,4,D,60,7,4
A,52,6,4,L,51,6,3
A,52,6,4,R,53,6,5
A,53,6,5,U,45,5,5
A,53,6,5,D,61,7,5
