maze,state_id,row,col,action,next_id,next_row,next_col
B,0,0,0,U,0,0,0
B,0,0,0,D,8,1,0
B,0,0,0,L,0,0,0
B,0,0,0,R,1,0,1
B,1,0,1,U,1,0,1
B,1,0,1,D,1,0,1
B,1,0,1,L,0,0,0
B,1,0,1,R,1,0,1
B,2,0,2,U,2,0,2
B,2,0,2,D,2,0,2
B,2,0,2,L,2,0,2
B,2,0,2,R,3,0,3
B,3,0,3,U,3,0,3
B,3,0,3,D,11,1,3
B,3,0,3,L,2,0,2
B,3,0,3,R,4,0,4
B,4,0,4,U,4,0,4
B,4,0,4,D,12,1,4
B,4,0,4,L,3,0,3
B,4,0,4,R,5,0,5
B,5,0,5,U,5,0,5
B,5,0,5,D,13,1,5
B,5,0,5,L,4,0,4
B,5,0,5,R,6,0,6
B,6,0,6,U,6,0,6
B,6,0,6,D,14,1,6
B,6,0,6,L,5,0,5
B,6,0,6,R,7,0,7
B,7,0,7,U,7,0,7
B,7,0,7,D,15,1,7
B,7,0,7,L,6,0,6
B,7,0,7,R,7,0,7
B,8,1,0,U,0,0,0
B,8,1,0,D,16,2,0
B,8,1,0,L,8,1,0
B,8,1,0,R,9,1,1
B,9,1,1,U,9,1,1
B,9,1,1,D,17,2,1
B,9,1,1,L,8,1,0
B,9,1,1,R,9,1,1
B,10,1,2,U,10,1,2
B,10,1,2,D,18,2,2
B,10,1,2,L,10,1,2
B,10,1,2,R,10,1,2
B,11,1,3,U,3,0,3
B,11,1,3,D,11,1,3
B,11,1,3,L,11,1,3
B,11,1,3,R,12,1,4
B,12,1,4,U,4,0,4
B,12,1,4,D,12,1,4
B,12,1,4,L,11,1,3
B,12,1,4,R,12,1,4
B,13,1,5,U,5,0,5
B,13,1,5,D,13,1,5
B,13,1,5,L,13,1,5
B,13,1,5,R,14,1,6
B,14,1,6,U,6,0,6
B,14,1,6,D,22,2,6
B,14,1,6,L,13,1,5
B,14,1,6,R,15,1,7
B,15,1,7,U,7,0,7
B,15,1,7,D,23,2,7
B,15,1,7,L,14,1,6
B,15,1,7,R,15,1,7
B,16,2,0,U,8,1,0
B,16,2,0,D,24,3,0
B,16,2,0,L,16,2,0
B,16,2,0,R,17,2,1
B,17,2,1,U,9,1,1
B,17,2,1,D,25,3,1
B,17,2,1,L,16,2,0
B,17,2,1,R,17,2,1
B,18,2,2,U,10,1,2
B,18,2,2,D,26,3,2
B,18,2,2,L,18,2,2
B,18,2,2,R,19,2,3
B,19,2,3,U,19,2,3
B,19,2,3,D,19,2,3
B,19,2,3,L,18,2,2
B,19,2,3,R,20,2,4
B,20,2,4,U,20,2,4
B,20,2,4,D,28,3,4
B,20,2,4,L,19,2,3
B,20,2,4,R,21,2,5
B,21,2,5,U,21,2,5
B,21,2,5,D,29,3,5
B,21,2,5,L,20,2,4
B,21,2,5,R,22,2,6
B,22,2,6,U,14,1,6
B,22,2,6,D,30,3,6
B,22,2,6,L,21,2,5
B,22,2,6,R,23,2,7
B,23,2,7,U,15,1,7
B,23,2,7,D,31,3,7
B,23,2,7,L,22,2,6
B,23,2,7,R,23,2,7
B,24,3,0,U,16,2,0
B,24,3,0,D,32,4,0
B,24,3,0,L,24,3,0
B,24,3,0,R,25,3,1
B,25,3,1,U,17,2,1
B,25,3,1,D,33,4,1
B,25,3,1,L,24,3,0
B,25,3,1,R,25,3,1
B,26,3,2,U,18,2,2
B,26,3,2,D,34,4,2
B,26,3,2,L,26,3,2
B,26,3,2,R,27,3,3
B,27,3,3,U,27,3,3
B,27,3,3,D,35,4,3
B,27,3,3,L,26,3,2
B,27,3,3,R,28,3,4
B,28,3,4,U,20,2,4
B,28,3,4,D,36,4,4
B,28,3,4,L,27,3,3
B,28,3,4,R,29,3,5
B,29,3,5,U,21,2,5
B,29,3,5,D,37,4,5
B,29,3,5,L,28,3,4
B,29,3,5,R,29,3,5
B,30,3,6,U,22,2,6
B,30,3,6,D,38,4,6
B,30,3,6,L,30,3,6
B,30,3,6,R,31,3,7
B,31,3,7,U,23,2,7
B,31,3,7,D,39,4,7
B,31,3,7,L,30,3,6
B,31,3,7,R,31,3,7
B,32,4,0,U,24,3,0
B,32,4,0,D,40,5,0
B,32,4,0,L,32,4,0
B,32,4,0,R,33,4,1
B,33,4,1,U,25,3,1
B,33,4,1,D,41,5,1
B,33,4,1,L,32,4,0
B,33,4,1,R,33,4,1
B,34,4,2,U,26,3,2
B,34,4,2,D,42,5,2
B,34,4,2,L,34,4,2
B,34,4,2,R,35,4,3
B,35,4,3,U,27,3,3
B,35,4,3,D,43,5,3
B,35,4,3,L,34,4,2
B,35,4,3,R,36,4,4
B,36,4,4,U,28,3,4
B,36,4,4,D,44,5,4
B,36,4,4,L,35,4,3
B,36,4,4,R,37,4,5
B,37,4,5,U,29,3,5
B,37,4,5,D,37,4,5
B,37,4,5,L,36,4,4
B,37,4,5,R,37,4,5
B,38,4,6,U,30,3,6
B,38,4,6,D,46,5,6
B,38,4,6,L,38,4,6
B,38,4,6,R,39,4,7
B,39,4,7,U,31,3,7
B,39,4,7,D,39,4,7
B,39,4,7,L,38,4,6
B,39,4,7,R,39,4,7
B,40,5,0,U,32,4,0
B,40,5,0,D,48,6,0
B,40,5,0,L,40,5,0
B,40,5,0,R,41,5,1
B,41,5,1,U,33,4,1
B,41,5,1,D,41,5,1
B,41,5,1,L,40,5,0
B,41,5,1,R,42,5,2
B,42,5,2,U,34,4,2
B,42,5,2,D,42,5,2
B,42,5,2,L,41,5,1
B,42,5,2,R,43,5,3
B,43,5,3,U,35,4,3
B,43,5,3,D,43,5,3
B,43,5,3,L,42,5,2
B,43,5,3,R,44,5,4
B,44,5,4,U,36,4,4
B,44,5,4,D,52,6,4
B,44,5,4,L,43,5,3
B,44,5,4,R,45,5,5
B,45,5,5,U,45,5,5
B,45,5,5,D,53,6,5
B,45,5,5,L,44,5,4
B,45,5,5,R,45,5,5
B,46,5,6,U,38,4,6
B,46,5,6,D,54,6,6
B,46,5,6,L,46,5,6
B,46,5,6,R,47,5,7
B,47,5,7,U,47,5,7
B,47,5,7,D,55,6,7
B,47,5,7,L,46,5,6
B,47,5,7,R,47,5,7
B,48,6,0,U,40,5,0
B,48,6,0,D,56,7,0
B,48,6,0,L,48,6,0
B,48,6,0,R,49,6,1
B,49,6,1,U,49,6,1
B,49,6,1,D,57,7,1
B,49,6,1,L,48,6,0
B,49,6,1,R,50,6,2
B,50,6,2,U,50,6,2
B,50,6,2,D,58,7,2
B,50,6,2,L,49,6,1
B,50,6,2,R,51,6,3
B,51,6,3,U,51,6,3
B,51,6,3,D,59,7,3
B,51,6,3,L,50,6,2
B,51,6,3,R,52,6,4
B,52,6,4,U,44,5,4
B,52,6,4,D,60,7,4
B,52,6,4,L,51,6,3
B,52,6,4,R,53,6,5
B,53,6,5,U,45,5,5
B,53,6,5,D,53,6,5
B,53,6,5,L,52,6,4
B,53,6,5,R,53,6,5
B,54,6,6,U,46,5,6
B,54,6,6,D,62,7,6
B,54,6,6,L,54,6,6
B,54,6,6,R,55,6,7
B,55,6,7,U,47,5,7
B,55,6,7,D,63,7,7
B,55,6,7,L,54,6,6
B,55,6,7,R,55,6,7
B,56,7,0,U,48,6,0
B,56,7,0,D,56,7,0
B,56,7,0,L,56,7,0
B,56,7,0,R,57,7,1
B,57,7,1,U,49,6,1
B,57,7,1,D,57,7,1
B,57,7,1,L,56,7,0
B,57,7,1,R,58,7,2
B,58,7,2,U,50,6,2
B,58,7,2,D,58,7,2
B,58,7,2,L,57,7,1
B,58,7,2,R,59,7,3
B,59,7,3,U,51,6,3
B,59,7,3,D,59,7,3
B,59,7,3,L,58,7,2
B,59,7,3,R,60,7,4
B,60,7,4,U,52,6,4
B,60,7,4,D,60,7,4
B,60,7,4,L,59,7,3
B,60,7,4,R,60,7,4
B,61,7,5,U,61,7,5
B,61,7,5,D,61,7,5
B,61,7,5,L,61,7,5
B,61,7,5,R,62,7,6
B,62,7,6,U,54,6,6
B,62,7,6,D,62,7,6
B,62,7,6,L,61,7,5
B,62,7,6,R,63,7,7
B,63,7,7,U,55,6,7
B,63,7,7,D,63,7,7
B,63,7,7,L,62,7,6
B,63,7,7,R,63,7,7
