maze,state_id,row,col,action,next_id,next_row,next_col
C,0,0,0,U,0,0,0
C,0,0,0,D,0,0,0
C,0,0,0,L,0,0,0
C,0,0,0,R,1,0,1
C,1,0,1,U,1,0,1
C,1,0,1,D,9,1,1
C,1,0,1,L,0,0,0
C,1,0,1,R,1,0,1
C,2,0,2,U,2,0,2
C,2,0,2,D,10,1,2
C,2,0,2,L,2,0,2
C,2,0,2,R,2,0,2
C,3,0,3,U,3,0,3
C,3,0,3,D,11,1,3
C,3,0,3,L,3,0,3
C,3,0,3,R,3,0,3
C,4,0,4,U,4,0,4
C,4,0,4,D,12,1,4
C,4,0,4,L,4,0,4
C,4,0,4,R,4,0,4
C,5,0,5,U,5,0,5
C,5,0,5,D,13,1,5
C,5,0,5,L,5,0,5
C,5,0,5,R,5,0,5
C,6,0,6,U,6,0,6
C,6,0,6,D,14,1,6
C,6,0,6,L,6,0,6
C,6,0,6,R,6,0,6
C,7,0,7,U,7,0,7
C,7,0,7,D,15,1,7
C,7,0,7,L,7,0,7
C,7,0,7,R,7,0,7
C,8,1,0,U,8,1,0
C,8,1,0,D,16,2,0
C,8,1,0,L,8,1,0
C,8,1,0,R,9,1,1
C,9,1,1,U,1,0,1
C,9,1,1,D,9,1,1
C,9,1,1,L,8,1,0
C,9,1,1,R,9,1,1
C,10,1,2,U,2,0,2
C,10,1,2,D,18,2,2
C,10,1,2,L,10,1,2
C,10,1,2,R,11,1,3
C,11,1,3,U,3,0,3
C,11,1,3,D,19,2,3
C,11,1,3,L,10,1,2
C,11,1,3,R,12,1,4
C,12,1,4,U,4,0,4
C,12,1,4,D,12,1,4
C,12,1,4,L,11,1,3
C,12,1,4,R,13,1,5
C,13,1,5,U,5,0,5
C,13,1,5,D,13,1,5
C,13,1,5,L,12,1,4
C,13,1,5,R,14,1,6
C,14,1,6,U,6,0,6
C,14,1,6,D,22,2,6
C,14,1,6,L,13,1,5
C,14,1,6,R,15,1,7
C,15,1,7,U,7,0,7
C,15,1,7,D,15,1,7
C,15,1,7,L,14,1,6
C,15,1,7,R,15,1,7
C,16,2,0,U,8,1,0
C,16,2,0,D,24,3,0
C,16,2,0,L,16,2,0
C,16,2,0,R,16,2,0
C,17,2,1,U,17,2,1
C,17,2,1,D,25,3,1
C,17,2,1,L,17,2,1
C,17,2,1,R,18,2,2
C,18,2,2,U,10,1,2
C,18,2,2,D,26,3,2
C,18,2,2,L,17,2,1
C,18,2,2,R,19,2,3
C,19,2,3,U,11,1,3
C,19,2,3,D,27,3,3
C,19,2,3,L,18,2,2
C,19,2,3,R,20,2,4
C,20,2,4,U,20,2,4
C,20,2,4,D,28,3,4
C,20,2,4,L,19,2,3
C,20,2,4,R,21,2,5
C,21,2,5,U,21,2,5
C,21,2,5,D,21,2,5
C,21,2,5,L,20,2,4
C,21,2,5,R,21,2,5
C,22,2,6,U,14,1,6
C,22,2,6,D,30,3,6
C,22,2,6,L,22,2,6
C,22,2,6,R,23,2,7
C,23,2,7,U,23,2,7
C,23,2,7,D,31,3,7
C,23,2,7,L,22,2,6
C,23,2,7,R,23,2,7
C,24,3,0,U,16,2,0
C,24,3,0,D,32,4,0
C,24,3,0,L,24,3,0
C,24,3,0,R,24,3,0
C,25,3,1,U,17,2,1
C,25,3,1,D,25,3,1
C,25,3,1,L,25,3,1
C,25,3,1,R,26,3,2
C,26,3,2,U,18,2,2
C,26,3,2,D,34,4,2
C,26,3,2,L,25,3,1
C,26,3,2,R,27,3,3
C,27,3,3,U,19,2,3
C,27,3,3,D,35,4,3
C,27,3,3,L,26,3,2
C,27,3,3,R,28,3,4
C,28,3,4,U,20,2,4
C,28,3,4,D,28,3,4
C,28,3,4,L,27,3,3
C,28,3,4,R,29,3,5
C,29,3,5,U,29,3,5
C,29,3,5,D,29,3,5
C,29,3,5,L,28,3,4
C,29,3,5,R,30,3,6
C,30,3,6,U,22,2,6
C,30,3,6,D,38,4,6
C,30,3,6,L,29,3,5
C,30,3,6,R,30,3,6
C,31,3,7,U,23,2,7
C,31,3,7,D,39,4,7
C,31,3,7,L,31,3,7
C,31,3,7,R,31,3,7
C,32,4,0,U,24,3,0
C,32,4,0,D,40,5,0
C,32,4,0,L,32,4,0
C,32,4,0,R,33,4,1
C,33,4,1,U,33,4,1
C,33,4,1,D,41,5,1
C,33,4,1,L,32,4,0
C,33,4,1,R,33,4,1
C,34,4,2,U,26,3,2
C,34,4,2,D,42,5,2
C,34,4,2,L,34,4,2
C,34,4,2,R,34,4,2
C,35,4,3,U,27,3,3
C,35,4,3,D,43,5,3
C,35,4,3,L,35,4,3
C,35,4,3,R,35,4,3
C,36,4,4,U,36,4,4
C,36,4,4,D,44,5,4
C,36,4,4,L,36,4,4
C,36,4,4,R,37,4,5
C,37,4,5,U,37,4,5
C,37,4,5,D,37,4,5
C,37,4,5,L,36,4,4
C,37,4,5,R,37,4,5
C,38,4,6,U,30,3,6
C,38,4,6,D,46,5,6
C,38,4,6,L,38,4,6
C,38,4,6,R,38,4,6
C,39,4,7,U,31,3,7
C,39,4,7,D,47,5,7
C,39,4,7,L,39,4,7
C,39,4,7,R,39,4,7
C,40,5,0,U,32,4,0
C,40,5,0,D,48,6,0
C,40,5,0,L,40,5,0
C,40,5,0,R,40,5,0
C,41,5,1,U,33,4,1
C,41,5,1,D,41,5,1
C,41,5,1,L,41,5,1
C,41,5,1,R,42,5,2
C,42,5,2,U,34,4,2
C,42,5,2,D,50,6,2
C,42,5,2,L,41,5,1
C,42,5,2,R,43,5,3
C,43,5,3,U,35,4,3
C,43,5,3,D,43,5,3
C,43,5,3,L,42,5,2
C,43,5,3,R,44,5,4
C,44,5,4,U,36,4,4
C,44,5,4,D,44,5,4
C,44,5,4,L,43,5,3
C,44,5,4,R,45,5,5
C,45,5,5,U,45,5,5
C,45,5,5,D,53,6,5
C,45,5,5,L,44,5,4
C,45,5,5,R,46,5,6
C,46,5,6,U,38,4,6
C,46,5,6,D,54,6,6
C,46,5,6,L,45,5,5
C,46,5,6,R,46,5,6
C,47,5,7,U,39,4,7
C,47,5,7,D,55,6,7
C,47,5,7,L,47,5,7
C,47,5,7,R,47,5,7
C,48,6,0,U,40,5,0
C,48,6,0,D,56,7,0
C,48,6,0,L,48,6,0
C,48,6,0,R,49,6,1
C,49,6,1,U,49,6,1
C,49,6,1,D,49,6,1
C,49,6,1,L,48,6,0
C,49,6,1,R,50,6,2
C,50,6,2,U,42,5,2
C,50,6,2,D,58,7,2
C,50,6,2,L,49,6,1
C,50,6,2,R,51,6,3
C,51,6,3,U,51,6,3
C,51,6,3,D,51,6,3
C,51,6,3,L,50,6,2
C,51,6,3,R,51,6,3
C,52,6,4,U,52,6,4
C,52,6,4,D,60,7,4
C,52,6,4,L,52,6,4
C,52,6,4,R,52,6,4
C,53,6,5,U,45,5,5
C,53,6,5,D,53,6,5
C,53,6,5,L,53,6,5
C,53,6,5,R,53,6,5
C,54,6,6,U,46,5,6
C,54,6,6,D,54,6,6
C,54,6,6,L,54,6,6
C,54,6,6,R,54,6,6
C,55,6,7,U,47,5,7
C,55,6,7,D,63,7,7
C,55,6,7,L,55,6,7
C,55,6,7,R,55,6,7
C,56,7,0,U,48,6,0
C,56,7,0,D,56,7,0
C,56,7,0,L,56,7,0
C,56,7,0,R,57,7,1
C,57,7,1,U,57,7,1
C,57,7,1,D,57,7,1
C,57,7,1,L,56,7,0
C,57,7,1,R,57,7,1
C,58,7,2,U,50,6,2
C,58,7,2,D,58,7,2
C,58,7,2,L,58,7,2
C,58,7,2,R,59,7,3
C,59,7,3,U,59,7,3
C,59,7,3,D,59,7,3
C,59,7,3,L,58,7,2
C,59,7,3,R,60,7,4
C,60,7,4,U,52,6,4
